order_id,customer_id,order_date,product,quantity,unit_price,customer_name,city,signup_date,segment,_merge,total_amount
ORD0116,CUST028,2026-06-04,Monitor,1,10193,Mani Pillai,Chennai,2025-03-04,Regular,both,10193
ORD0044,CUST016,2026-06-04,Webcam,2,1757,Kavya Raj,Hyderabad,2025-08-23,Regular,both,3514
ORD0032,CUST018,2026-03-03,Laptop,5,53143,Suresh Pillai,Coimbatore,2025-01-06,Premium,both,265715
ORD0125,CUST019,2026-01-13,Headphones,3,2105,Ganesh Sharma,Delhi,2025-02-16,Regular,both,6315
ORD0056,CUST017,2026-01-24,Laptop,5,58268,Priya Reddy,Coimbatore,2025-10-22,Premium,both,291340
ORD0092,,2026-03-01,Webcam,3,1888,,,,,left_only,5664
ORD0073,CUST019,2026-09-02,Webcam,4,1881,Ganesh Sharma,Delhi,2025-02-16,Regular,both,7524
ORD0124,CUST017,2026-08-02,Mouse,2,559,Priya Reddy,Coimbatore,2025-10-22,Premium,both,1118
ORD0028,CUST008,2026-03-01,Mouse,3,574,Ganesh Raj,Delhi,2025-03-12,Regular,both,1722
ORD0078,CUST017,2026-03-16,Monitor,5,9919,Priya Reddy,Coimbatore,2025-10-22,Premium,both,49595
ORD0055,CUST004,2026-05-22,Webcam,2,1870,Kavya Pillai,Chennai,2025-04-10,Regular,both,3740
ORD0010,CUST009,2026-02-27,Monitor,2,8607,Divya Das,Coimbatore,2025-09-14,Regular,both,17214
ORD0060,CUST013,2026-09-03,Laptop,3,59676,Ravi Sharma,Hyderabad,2025-03-16,Premium,both,179028
ORD0003,CUST022,2026-05-27,Mouse,1,601,Meena Sharma,Mumbai,2025-09-09,Premium,both,601
ORD0001,CUST018,2026-06-20,Monitor,3,9465,Suresh Pillai,Coimbatore,2025-01-06,Premium,both,28395
ORD0090,CUST030,2026-01-01,Laptop,2,53310,Rahul Kumar,Delhi,2025-03-18,Regular,both,106620
ORD0064,CUST030,2026-09-04,Laptop,4,52937,Rahul Kumar,Delhi,2025-03-18,Regular,both,211748
ORD0038,CUST002,2026-02-17,Webcam,4,1745,Rahul Nair,Delhi,2025-01-17,Regular,both,6980
ORD0096,CUST002,2026-06-21,Mouse,4,550,Rahul Nair,Delhi,2025-01-17,Regular,both,2200
ORD0020,CUST017,2026-02-27,Headphones,4,2050,Priya Reddy,Coimbatore,2025-10-22,Premium,both,8200
ORD0133,CUST020,2026-04-18,Laptop,4,50536,Divya Reddy,Bengaluru,2025-08-12,Premium,both,202144
ORD0077,CUST011,2026-10-03,Monitor,3,10063,Karthik Raj,Delhi,2025-05-17,Premium,both,30189
ORD0053,CUST002,2026-06-22,Webcam,2,1663,Rahul Nair,Delhi,2025-01-17,Regular,both,3326
ORD0066,CUST024,2026-06-17,Mouse,3,653,Sneha Iyer,Coimbatore,2025-01-04,Premium,both,1959
ORD0004,CUST023,2026-04-06,Webcam,4,1722,Ganesh Pillai,Bengaluru,2025-03-03,Regular,both,6888
ORD0121,CUST006,2026-04-23,Mouse,4,562,Suresh Pillai,Bengaluru,2025-04-09,Regular,both,2248
ORD0040,CUST026,2026-08-02,Headphones,3,2081,Ganesh Nair,Bengaluru,2025-12-28,Regular,both,6243
ORD0012,CUST017,2026-02-02,Headphones,3,2214,Priya Reddy,Coimbatore,2025-10-22,Premium,both,6642
ORD0089,CUST016,2026-02-17,Laptop,1,60106,Kavya Raj,Hyderabad,2025-08-23,Regular,both,60106
ORD0119,CUST026,2026-01-21,Mouse,1,601,Ganesh Nair,Bengaluru,2025-12-28,Regular,both,601
ORD0006,CUST026,2026-01-24,Monitor,2,8898,Ganesh Nair,Bengaluru,2025-12-28,Regular,both,17796
ORD0141,CUST024,2026-12-02,Webcam,3,1702,Sneha Iyer,Coimbatore,2025-01-04,Premium,both,5106
ORD0043,CUST006,2026-05-22,Webcam,3,1926,Suresh Pillai,Bengaluru,2025-04-09,Regular,both,5778
ORD0099,CUST019,2026-07-01,Webcam,4,1722,Ganesh Sharma,Delhi,2025-02-16,Regular,both,6888
ORD0106,CUST025,2026-06-04,Keyboard,1,1080,Vikram Reddy,Hyderabad,2025-05-01,Premium,both,1080
ORD0070,CUST021,2026-07-01,Keyboard,1,1310,Lakshmi Das,Chennai,2025-03-15,Premium,both,1310
ORD0085,CUST024,2026-05-21,Mouse,2,551,Sneha Iyer,Coimbatore,2025-01-04,Premium,both,1102
ORD0083,CUST002,2026-04-14,Webcam,5,1727,Rahul Nair,Delhi,2025-01-17,Regular,both,8635
ORD0095,CUST016,2026-04-23,Headphones,3,2008,Kavya Raj,Hyderabad,2025-08-23,Regular,both,6024
ORD0051,CUST010,2026-05-06,Keyboard,1,1291,Deepa Das,Hyderabad,2025-08-05,Regular,both,1291
ORD0069,CUST010,2026-04-03,Monitor,3,8553,Deepa Das,Hyderabad,2025-08-05,Regular,both,25659
ORD0108,CUST014,2026-03-27,Monitor,4,8729,Priya Raj,Delhi,2025-10-26,Regular,both,34916
ORD0138,CUST026,2026-06-04,Mouse,4,554,Ganesh Nair,Bengaluru,2025-12-28,Regular,both,2216
ORD0075,CUST014,2026-06-14,Webcam,4,1934,Priya Raj,Delhi,2025-10-26,Regular,both,7736
ORD0067,CUST008,2026-04-16,Webcam,4,1632,Ganesh Raj,Delhi,2025-03-12,Regular,both,6528
ORD0072,CUST024,2026-09-01,Monitor,1,8655,Sneha Iyer,Coimbatore,2025-01-04,Premium,both,8655
ORD0058,CUST005,2026-08-02,Keyboard,4,1206,Priya Pillai,Chennai,2025-02-04,Regular,both,4824
ORD0047,CUST006,2026-07-06,Monitor,2,9583,Suresh Pillai,Bengaluru,2025-04-09,Regular,both,19166
ORD0134,CUST027,2026-06-18,Laptop,2,59972,Deepa Pillai,Mumbai,2025-07-13,Regular,both,119944
ORD0068,CUST011,2026-06-15,Laptop,4,54447,Karthik Raj,Delhi,2025-05-17,Premium,both,217788
ORD0015,CUST008,2026-06-17,Headphones,5,2264,Ganesh Raj,Delhi,2025-03-12,Regular,both,11320
ORD0100,CUST020,2026-09-02,Mouse,3,553,Divya Reddy,Bengaluru,2025-08-12,Premium,both,1659
ORD0127,CUST001,2026-02-27,Monitor,4,10422,Anitha Sharma,Mumbai,2025-02-11,Regular,both,41688
ORD0049,CUST003,2026-03-21,Monitor,2,8723,Priya Raj,Mumbai,2025-03-07,Regular,both,17446
ORD0111,,2026-03-04,Laptop,1,53710,,,,,left_only,53710
ORD0087,CUST002,2026-06-25,Mouse,4,615,Rahul Nair,Delhi,2025-01-17,Regular,both,2460
ORD0109,CUST004,2026-03-18,Webcam,4,1718,Kavya Pillai,Chennai,2025-04-10,Regular,both,6872
ORD0082,CUST006,2026-03-26,Keyboard,5,1131,Suresh Pillai,Bengaluru,2025-04-09,Regular,both,5655
ORD0112,CUST013,2026-11-05,Webcam,3,1759,Ravi Sharma,Hyderabad,2025-03-16,Premium,both,5277
ORD0052,CUST028,2026-05-05,Webcam,5,1878,Mani Pillai,Chennai,2025-03-04,Regular,both,9390
ORD0149,CUST020,2026-08-05,Webcam,4,1819,Divya Reddy,Bengaluru,2025-08-12,Premium,both,7276
ORD0026,CUST006,2026-03-18,Webcam,4,1845,Suresh Pillai,Bengaluru,2025-04-09,Regular,both,7380
ORD0005,CUST031,2026-11-06,Mouse,1,642,Ganesh Kumar,Chennai,2025-04-20,Premium,both,642
ORD0048,CUST001,2026-05-01,Laptop,4,59114,Anitha Sharma,Mumbai,2025-02-11,Regular,both,236456
ORD0041,CUST009,2026-01-27,Monitor,2,8579,Divya Das,Coimbatore,2025-09-14,Regular,both,17158
ORD0031,CUST021,2026-06-06,Laptop,4,50686,Lakshmi Das,Chennai,2025-03-15,Premium,both,202744
ORD0129,CUST013,2026-02-15,Laptop,5,53758,Ravi Sharma,Hyderabad,2025-03-16,Premium,both,268790
ORD0110,CUST021,2026-01-04,Keyboard,4,1143,Lakshmi Das,Chennai,2025-03-15,Premium,both,4572
ORD0137,CUST023,2026-03-21,Monitor,2,9350,Ganesh Pillai,Bengaluru,2025-03-03,Regular,both,18700
ORD0076,CUST009,2026-02-04,Webcam,5,1685,Divya Das,Coimbatore,2025-09-14,Regular,both,8425
ORD0027,CUST002,2026-10-05,Monitor,5,8681,Rahul Nair,Delhi,2025-01-17,Regular,both,43405
ORD0062,CUST032,2026-03-15,Keyboard,4,1199,Sneha Reddy,Hyderabad,2025-12-10,Premium,both,4796
ORD0065,CUST014,2026-02-24,Laptop,5,53789,Priya Raj,Delhi,2025-10-26,Regular,both,268945
ORD0113,CUST022,2026-06-23,Headphones,3,2121,Meena Sharma,Mumbai,2025-09-09,Premium,both,6363
ORD0019,CUST018,2026-04-17,Monitor,2,9981,Suresh Pillai,Coimbatore,2025-01-06,Premium,both,19962
ORD0059,CUST025,2026-10-06,Laptop,1,59608,Vikram Reddy,Hyderabad,2025-05-01,Premium,both,59608
ORD0105,CUST012,2026-06-15,Webcam,1,1779,Anitha Das,Hyderabad,2025-03-10,Regular,both,1779
ORD0036,CUST020,2026-03-15,Headphones,5,2324,Divya Reddy,Bengaluru,2025-08-12,Premium,both,11620
ORD0115,CUST099,2026-04-25,Laptop,4,53613,,,,,left_only,214452
ORD0042,CUST005,2026-03-14,Webcam,2,1648,Priya Pillai,Chennai,2025-02-04,Regular,both,3296
ORD0139,CUST006,2026-03-15,Monitor,2,8816,Suresh Pillai,Bengaluru,2025-04-09,Regular,both,17632
ORD0033,,2026-01-04,Keyboard,3,1221,,,,,left_only,3663
ORD0136,CUST020,2026-03-24,Monitor,5,10359,Divya Reddy,Bengaluru,2025-08-12,Premium,both,51795
ORD0079,CUST026,2026-03-02,Laptop,2,57701,Ganesh Nair,Bengaluru,2025-12-28,Regular,both,115402
ORD0045,CUST029,2026-03-18,Laptop,3,53505,Deepa Sharma,Chennai,2025-06-20,Regular,both,160515
ORD0107,CUST006,2026-04-04,Keyboard,5,1274,Suresh Pillai,Bengaluru,2025-04-09,Regular,both,6370
ORD0009,CUST002,2026-06-21,Laptop,1,58127,Rahul Nair,Delhi,2025-01-17,Regular,both,58127
ORD0132,CUST014,2026-04-22,Laptop,3,52533,Priya Raj,Delhi,2025-10-26,Regular,both,157599
ORD0093,CUST013,2026-01-05,Monitor,1,9650,Ravi Sharma,Hyderabad,2025-03-16,Premium,both,9650
ORD0101,CUST032,2026-02-16,Headphones,4,2320,Sneha Reddy,Hyderabad,2025-12-10,Premium,both,9280
ORD0088,CUST032,2026-05-28,Laptop,4,56855,Sneha Reddy,Hyderabad,2025-12-10,Premium,both,227420
ORD0142,CUST011,2026-04-25,Laptop,2,54441,Karthik Raj,Delhi,2025-05-17,Premium,both,108882
ORD0102,CUST004,2026-02-04,Headphones,2,1992,Kavya Pillai,Chennai,2025-04-10,Regular,both,3984
ORD0118,CUST099,2026-03-05,Keyboard,5,1130,,,,,left_only,5650
ORD0104,CUST021,2026-06-01,Webcam,3,1717,Lakshmi Das,Chennai,2025-03-15,Premium,both,5151
ORD0123,CUST008,2026-09-05,Keyboard,3,1145,Ganesh Raj,Delhi,2025-03-12,Regular,both,3435
ORD0074,CUST021,2026-01-04,Mouse,4,656,Lakshmi Das,Chennai,2025-03-15,Premium,both,2624
ORD0126,CUST099,2026-06-15,Webcam,1,1672,,,,,left_only,1672
ORD0143,CUST009,2026-11-04,Laptop,1,59455,Divya Das,Coimbatore,2025-09-14,Regular,both,59455
ORD0050,CUST010,2026-05-13,Webcam,3,1873,Deepa Das,Hyderabad,2025-08-05,Regular,both,5619
ORD0029,CUST003,2026-02-27,Mouse,4,648,Priya Raj,Mumbai,2025-03-07,Regular,both,2592
ORD0017,CUST003,2026-01-05,Laptop,1,56762,Priya Raj,Mumbai,2025-03-07,Regular,both,56762
ORD0007,CUST009,2026-04-26,Laptop,2,59520,Divya Das,Coimbatore,2025-09-14,Regular,both,119040
ORD0035,CUST008,2026-07-02,Mouse,3,620,Ganesh Raj,Delhi,2025-03-12,Regular,both,1860
ORD0097,CUST017,2026-08-03,Mouse,4,544,Priya Reddy,Coimbatore,2025-10-22,Premium,both,2176
ORD0147,CUST008,2026-06-27,Mouse,2,545,Ganesh Raj,Delhi,2025-03-12,Regular,both,1090
ORD0014,CUST029,2026-06-02,Mouse,2,600,Deepa Sharma,Chennai,2025-06-20,Regular,both,1200
ORD0021,CUST027,2026-03-03,Laptop,2,56517,Deepa Pillai,Mumbai,2025-07-13,Regular,both,113034
ORD0146,CUST014,2026-06-05,Laptop,4,55385,Priya Raj,Delhi,2025-10-26,Regular,both,221540
ORD0081,CUST009,2026-06-01,Headphones,3,2264,Divya Das,Coimbatore,2025-09-14,Regular,both,6792
ORD0022,CUST005,2026-01-25,Mouse,2,660,Priya Pillai,Chennai,2025-02-04,Regular,both,1320
ORD0034,CUST027,2026-01-17,Keyboard,2,1320,Deepa Pillai,Mumbai,2025-07-13,Regular,both,2640
ORD0145,CUST015,2026-02-27,Headphones,4,2073,Anitha Nair,Delhi,2025-08-19,Premium,both,8292
ORD0011,CUST017,2026-02-25,Mouse,5,581,Priya Reddy,Coimbatore,2025-10-22,Premium,both,2905
ORD0131,CUST003,2026-07-01,Keyboard,3,1089,Priya Raj,Mumbai,2025-03-07,Regular,both,3267
ORD0130,CUST001,2026-06-20,Laptop,3,53065,Anitha Sharma,Mumbai,2025-02-11,Regular,both,159195
ORD0114,CUST020,2026-05-26,Laptop,1,49897,Divya Reddy,Bengaluru,2025-08-12,Premium,both,49897
ORD0024,CUST007,2026-02-22,Monitor,2,8880,Vikram Raj,Delhi,2025-10-21,Regular,both,17760
ORD0151,CUST007,2026-02-22,Monitor,2,8880,Vikram Raj,Mumbai,2025-10-21,Premium,both,17760
ORD0094,CUST020,2026-03-21,Monitor,2,9523,Divya Reddy,Bengaluru,2025-08-12,Premium,both,19046
