order_id,order_date,customer_name,city,product,quantity,unit_price,payment_mode
ORD0125,02-01-2026,Arun,  Delhi ,Keyboard,5,1295,UPI
ORD0072,2026-05-02,Kavya,Chennai,Keyboard,4,1281,Card
ORD0099,02/06/2026,Vikram,Chennai,Keyboard,5,1253,Cash
ORD0054,09/06/2026,Rahul,MUMBAI,Monitor,2,8695,Cash
ORD0179,26-04-2026,Karthik,Delhi,Mouse,4,631,NetBanking
ORD0066,02-05-2026,Rahul,Hyderabad,Monitor,5,10336,UPI
ORD0019,2026-02-22,Priya,delhi,Laptop,1,59249,NetBanking
ORD0132,02/02/2026,Vikram,Mumbai,Headphones,1,2000,Card
ORD0109,18/01/2026,Rahul,  Bengaluru ,laptop,5,57689,NetBanking
ORD0092,13-06-2026,Divya,Chennai,webcam,1,1801,NetBanking
ORD0040,2026-03-11,Sneha,  Mumbai ,keyboard,4,Rs.1134,UPI
ORD0031,2026-05-20,Divya,Delhi,Monitor,2,9937,Cash
ORD0016,04/01/2026,Arun,Chennai,Laptop,5,56760,NetBanking
ORD0098,17-06-2026,Arun,Bengaluru,Keyboard,1,1262,Card
ORD0150,2026-01-03,Vikram,,webcam,5,1731,NetBanking
ORD0011,08-05-2026,Priya,Mumbai,Keyboard,-2,1141,Card
ORD0093,11/02/2026,Karthik,HYDERABAD,Laptop,1,56136,NetBanking
ORD0095,2026-06-06,Karthik,Delhi,Headphones,1,2058,Cash
ORD0173,14-01-2026,Priya,,Headphones,5,2264,NetBanking
ORD0023,2026-04-17,Arun,Chennai,Webcam,3,Rs.1944,Cash
ORD0162,16/05/2026,Vikram,Hyderabad,Headphones,2,2406,NetBanking
ORD0105,2026-06-02,Vikram,Delhi,Mouse,3,651,UPI
ORD0046,2026-03-26,Sneha,Delhi,Monitor,3,Rs.8984,Card
ORD0140,08-02-2026,Rahul,BENGALURU,Headphones,5,2359,UPI
ORD0152,05-06-2026,Arun,Chennai,Headphones,5,2181,NetBanking
ORD0126,2026-06-26,Sneha,MUMBAI,keyboard,2,1203,NetBanking
ORD0128,2026-02-28,Vikram,Bengaluru,Headphones,2,2194,NetBanking
ORD0079,27-05-2026,Rahul,Bengaluru,Headphones,1,2085,UPI
ORD0157,16-02-2026,Sneha,Bengaluru,Mouse,5,636,NetBanking
ORD0067,2026-01-01,Arun,Hyderabad,Mouse,3,628,NetBanking
ORD0139,2026-01-23,Karthik,Hyderabad,Keyboard,3,1090,Cash
ORD0175,08/06/2026,Karthik,Delhi,Laptop,3,55416,UPI
ORD0068,20-06-2026,Karthik,DELHI,Laptop,4,59485,Cash
ORD0142,2026-04-02,Kavya,Hyderabad,mouse,2,593,UPI
ORD0086,04/05/2026,Rahul,Bengaluru,Headphones,3,Rs.2139,Cash
ORD0034,26/06/2026,Karthik,Chennai,Monitor,2,8998,Card
ORD0015,02/04/2026,Vikram,chennai,Webcam,1,1950,NetBanking
ORD0059,02/02/2026,Vikram,Delhi,Headphones,4,2216,Card
ORD0026,2026-02-26,Arun,Bengaluru,Mouse,2,0,Card
ORD0042,2026-02-25,Priya,DELHI,Headphones,1,2290,NetBanking
ORD0047,2026-06-21,Karthik,CHENNAI,Mouse,4,628,Cash
ORD0024,23/04/2026,Arun,CHENNAI,Webcam,5,1846,UPI
ORD0069,2026-01-06,Vikram,  Delhi ,Keyboard,5,1253,NetBanking
ORD0103,2026-04-02,Rahul,Mumbai,Mouse,4,632,Card
ORD0014,19-04-2026,Karthik,mumbai,headphones,5,2047,NetBanking
ORD0074,2026-05-28,Priya,MUMBAI,Webcam,4,1965,Cash
ORD0009,2026-03-04,Kavya,MUMBAI,Keyboard,3,1276,Card
ORD0130,2026-03-24,Vikram,,Mouse,3,652,Cash
ORD0158,15-03-2026,Rahul,  Chennai ,Mouse,1,582,UPI
ORD0155,19/05/2026,Vikram,  Bengaluru ,Webcam,3,1914,Card
ORD0097,2026-04-17,Arun,Mumbai,Laptop,5,59576,NetBanking
ORD0036,09-04-2026,Sneha,  Bengaluru ,Headphones,2,2228,Card
ORD0169,2026-06-25,Priya,hyderabad,Mouse,2,615,NetBanking
ORD0144,19-06-2026,Kavya,Delhi,Keyboard,3,1282,Cash
ORD0091,2026-02-07,Sneha,HYDERABAD,Laptop,3,52849,Card
ORD0001,24-03-2026,Rahul,Bengaluru,Webcam,,1677,UPI
ORD0050,23/02/2026,Karthik,Chennai,Laptop,3,58566,NetBanking
ORD0055,10-04-2026,Karthik,Hyderabad,Keyboard,5,1232,NetBanking
ORD0168,08/02/2026,Karthik,HYDERABAD,laptop,1,58153,
ORD0058,22/04/2026,Arun,MUMBAI,Webcam,3,Rs.1873,
ORD0051,13-04-2026,Arun,BENGALURU,Monitor,1,8783,Card
ORD0008,2026-06-26,Priya,Mumbai,Laptop,2,52004,UPI
ORD0102,10/01/2026,Arun,Hyderabad,Mouse,1,559,Card
ORD0111,25/05/2026,Vikram,BENGALURU,Keyboard,1,1141,Card
ORD0141,16-06-2026,Sneha,  Hyderabad ,mouse,4,592,Card
ORD0048,11/03/2026,Karthik,  Hyderabad ,Keyboard,5,1188,Cash
ORD0104,12/06/2026,Karthik,Mumbai,Monitor,2,10401,NetBanking
ORD0060,01/06/2026,Rahul,  Bengaluru ,webcam,1,1868,Card
ORD0026,2026-02-26,Arun,Bengaluru,Mouse,2,650,Card
ORD0110,18/05/2026,Arun,Mumbai,keyboard,,1097,Cash
ORD0085,18/01/2026,Vikram,Chennai,Laptop,2,55605,NetBanking
ORD0041,08-02-2026,Kavya,BENGALURU,Webcam,250,1640,Card
ORD0045,09-03-2026,Priya,Hyderabad,Monitor,5,9442,NetBanking
ORD0131,22-05-2026,Kavya,Chennai,Keyboard,5,1291,Cash
ORD0063,2026-04-13,Rahul,Bengaluru,Keyboard,5,1221,UPI
ORD0043,2026-06-04,Priya,,Webcam,2,1941,
ORD0028,2026-05-22,Arun,,Webcam,4,1880,Cash
ORD0161,2026-03-12,Arun,Delhi,Keyboard,2,Rs.1314,NetBanking
ORD0006,22-03-2026,Rahul,Chennai,Webcam,2,Rs.1905,Cash
ORD0165,2026-06-17,Sneha,Chennai,Monitor,1,8574,Card
ORD0012,14/02/2026,Rahul,Hyderabad,Keyboard,5,1215,NetBanking
ORD0077,2026-04-20,Arun,hyderabad,Webcam,4,1670,Cash
ORD0018,2026-06-02,Arun,,Headphones,5,2356,Card
ORD0082,14-06-2026,Karthik,MUMBAI,monitor,4,10285,UPI
ORD0116,09-06-2026,Priya,Mumbai,Keyboard,4,1237,UPI
ORD0113,02-06-2026,Sneha,Hyderabad,headphones,3,2222,Cash
ORD0025,2026-01-12,Rahul,Bengaluru,Mouse,3,545,NetBanking
ORD0122,14/04/2026,Priya,Bengaluru,Webcam,5,1865,Cash
ORD0163,16/02/2026,Arun,DELHI,Mouse,5,632,UPI
ORD0170,2026-06-17,Arun,Chennai,Webcam,1,1691,NetBanking
ORD0134,2026-04-20,Rahul,Chennai,Webcam,1,1972,
ORD0053,08/02/2026,Priya,,Webcam,2,1661,Cash
ORD0117,2026-06-08,Vikram,Mumbai,laptop,1,51568,NetBanking
ORD0088,28/02/2026,Divya,CHENNAI,Keyboard,2,Rs.1081,Card
ORD0080,04-06-2026,Kavya,Chennai,Headphones,,2108,UPI
ORD0090,07-05-2026,Vikram,,Monitor,3,9398,Cash
ORD0037,14/03/2026,Karthik,MUMBAI,Mouse,4,548,UPI
ORD0030,22/01/2026,Sneha,  Delhi ,Keyboard,3,1239,Cash
ORD0022,10-06-2026,Kavya,HYDERABAD,Laptop,5,60442,Cash
ORD0107,26-02-2026,Arun,Hyderabad,Laptop,,60148,NetBanking
ORD0076,04-01-2026,Kavya,Mumbai,Laptop,4,54486,NetBanking
ORD0027,2026-04-07,Sneha,bengaluru,Laptop,2,57211,Cash
ORD0124,2026-05-21,Kavya,Hyderabad,laptop,2,53605,Card
ORD0007,09-02-2026,Sneha,Delhi,Webcam,2,1854,
ORD0089,25/05/2026,Priya,chennai,Keyboard,3,Rs.1264,UPI
ORD0039,20-05-2026,Divya,Delhi,monitor,2,10433,Card
ORD0129,08/02/2026,Vikram,CHENNAI,Monitor,,9585,NetBanking
ORD0151,2026-04-12,Divya,MUMBAI,Webcam,4,1950,Card
ORD0174,19-05-2026,Divya,BENGALURU,Webcam,2,1906,UPI
ORD0119,20/03/2026,Karthik,BENGALURU,Webcam,2,1848,NetBanking
ORD0101,03/06/2026,Divya,Delhi,Mouse,5,625,Card
ORD0096,2026-03-21,Arun,Hyderabad,Laptop,4,57182,UPI
ORD0115,2026-01-04,Sneha,Hyderabad,Headphones,,2130,NetBanking
ORD0057,09/02/2026,Divya,Mumbai,Headphones,4,2313,Cash
ORD0148,27/05/2026,Rahul,Delhi,Headphones,1,2037,NetBanking
ORD0177,2026-02-19,Divya,Hyderabad,Webcam,4,Rs.1975,Card
ORD0149,2026-01-26,Kavya,Delhi,Laptop,4,57861,Cash
ORD0143,16/02/2026,Karthik,hyderabad,Webcam,5,1898,
ORD0133,19/03/2026,Karthik,  Delhi ,Headphones,3,2358,UPI
