order_id,order_date,customer_name,city,product,quantity,unit_price,payment_mode,total_amount
ORD0175,2026-06-08,Karthik,Delhi,Laptop,3,55416,UPI,166248
ORD0068,2026-06-20,Karthik,Delhi,Laptop,4,59485,Cash,237940
ORD0142,2026-02-04,Kavya,Hyderabad,Mouse,2,593,UPI,1186
ORD0086,2026-05-04,Rahul,Bengaluru,Headphones,3,2139,Cash,6417
ORD0034,2026-06-26,Karthik,Chennai,Monitor,2,8998,Card,17996
ORD0015,2026-04-02,Vikram,Chennai,Webcam,1,1950,NetBanking,1950
ORD0059,2026-02-02,Vikram,Delhi,Headphones,4,2216,Card,8864
ORD0026,2026-02-26,Arun,Bengaluru,Mouse,2,0,Card,0
ORD0042,2026-02-25,Priya,Delhi,Headphones,1,2290,NetBanking,2290
ORD0047,2026-06-21,Karthik,Chennai,Mouse,4,628,Cash,2512
ORD0024,2026-04-23,Arun,Chennai,Webcam,5,1846,UPI,9230
ORD0069,2026-06-01,Vikram,Delhi,Keyboard,5,1253,NetBanking,6265
ORD0103,2026-02-04,Rahul,Mumbai,Mouse,4,632,Card,2528
ORD0014,2026-04-19,Karthik,Mumbai,Headphones,5,2047,NetBanking,10235
ORD0074,2026-05-28,Priya,Mumbai,Webcam,4,1965,Cash,7860
ORD0009,2026-04-03,Kavya,Mumbai,Keyboard,3,1276,Card,3828
ORD0130,2026-03-24,Vikram,,Mouse,3,652,Cash,1956
ORD0158,2026-03-15,Rahul,Chennai,Mouse,1,582,UPI,582
ORD0155,2026-05-19,Vikram,Bengaluru,Webcam,3,1914,Card,5742
ORD0097,2026-04-17,Arun,Mumbai,Laptop,5,59576,NetBanking,297880
ORD0036,2026-04-09,Sneha,Bengaluru,Headphones,2,2228,Card,4456
ORD0169,2026-06-25,Priya,Hyderabad,Mouse,2,615,NetBanking,1230
ORD0144,2026-06-19,Kavya,Delhi,Keyboard,3,1282,Cash,3846
ORD0091,2026-07-02,Sneha,Hyderabad,Laptop,3,52849,Card,158547
ORD0001,2026-03-24,Rahul,Bengaluru,Webcam,1,1677,UPI,1677
ORD0050,2026-02-23,Karthik,Chennai,Laptop,3,58566,NetBanking,175698
ORD0055,2026-04-10,Karthik,Hyderabad,Keyboard,5,1232,NetBanking,6160
ORD0168,2026-02-08,Karthik,Hyderabad,Laptop,1,58153,,58153
ORD0058,2026-04-22,Arun,Mumbai,Webcam,3,1873,,5619
ORD0051,2026-04-13,Arun,Bengaluru,Monitor,1,8783,Card,8783
ORD0008,2026-06-26,Priya,Mumbai,Laptop,2,52004,UPI,104008
ORD0102,2026-01-10,Arun,Hyderabad,Mouse,1,559,Card,559
ORD0111,2026-05-25,Vikram,Bengaluru,Keyboard,1,1141,Card,1141
ORD0141,2026-06-16,Sneha,Hyderabad,Mouse,4,592,Card,2368
ORD0048,2026-03-11,Karthik,Hyderabad,Keyboard,5,1188,Cash,5940
ORD0104,2026-06-12,Karthik,Mumbai,Monitor,2,10401,NetBanking,20802
ORD0060,2026-06-01,Rahul,Bengaluru,Webcam,1,1868,Card,1868
ORD0026,2026-02-26,Arun,Bengaluru,Mouse,2,650,Card,1300
ORD0110,2026-05-18,Arun,Mumbai,Keyboard,1,1097,Cash,1097
ORD0085,2026-01-18,Vikram,Chennai,Laptop,2,55605,NetBanking,111210
ORD0041,2026-02-08,Kavya,Bengaluru,Webcam,250,1640,Card,410000
ORD0045,2026-03-09,Priya,Hyderabad,Monitor,5,9442,NetBanking,47210
ORD0131,2026-05-22,Kavya,Chennai,Keyboard,5,1291,Cash,6455
ORD0063,2026-04-13,Rahul,Bengaluru,Keyboard,5,1221,UPI,6105
ORD0043,2026-04-06,Priya,,Webcam,2,1941,,3882
ORD0028,2026-05-22,Arun,,Webcam,4,1880,Cash,7520
ORD0161,2026-12-03,Arun,Delhi,Keyboard,2,1314,NetBanking,2628
ORD0006,2026-03-22,Rahul,Chennai,Webcam,2,1905,Cash,3810
ORD0165,2026-06-17,Sneha,Chennai,Monitor,1,8574,Card,8574
ORD0012,2026-02-14,Rahul,Hyderabad,Keyboard,5,1215,NetBanking,6075
ORD0077,2026-04-20,Arun,Hyderabad,Webcam,4,1670,Cash,6680
ORD0018,2026-02-06,Arun,,Headphones,5,2356,Card,11780
ORD0082,2026-06-14,Karthik,Mumbai,Monitor,4,10285,UPI,41140
ORD0116,2026-06-09,Priya,Mumbai,Keyboard,4,1237,UPI,4948
ORD0113,2026-06-02,Sneha,Hyderabad,Headphones,3,2222,Cash,6666
ORD0025,2026-12-01,Rahul,Bengaluru,Mouse,3,545,NetBanking,1635
ORD0122,2026-04-14,Priya,Bengaluru,Webcam,5,1865,Cash,9325
ORD0163,2026-02-16,Arun,Delhi,Mouse,5,632,UPI,3160
ORD0170,2026-06-17,Arun,Chennai,Webcam,1,1691,NetBanking,1691
ORD0134,2026-04-20,Rahul,Chennai,Webcam,1,1972,,1972
ORD0053,2026-02-08,Priya,,Webcam,2,1661,Cash,3322
ORD0117,2026-08-06,Vikram,Mumbai,Laptop,1,51568,NetBanking,51568
ORD0088,2026-02-28,Divya,Chennai,Keyboard,2,1081,Card,2162
ORD0080,2026-06-04,Kavya,Chennai,Headphones,1,2108,UPI,2108
ORD0090,2026-05-07,Vikram,,Monitor,3,9398,Cash,28194
ORD0037,2026-03-14,Karthik,Mumbai,Mouse,4,548,UPI,2192
ORD0030,2026-01-22,Sneha,Delhi,Keyboard,3,1239,Cash,3717
ORD0022,2026-06-10,Kavya,Hyderabad,Laptop,5,60442,Cash,302210
ORD0107,2026-02-26,Arun,Hyderabad,Laptop,1,60148,NetBanking,60148
ORD0076,2026-01-04,Kavya,Mumbai,Laptop,4,54486,NetBanking,217944
ORD0027,2026-07-04,Sneha,Bengaluru,Laptop,2,57211,Cash,114422
ORD0124,2026-05-21,Kavya,Hyderabad,Laptop,2,53605,Card,107210
ORD0007,2026-02-09,Sneha,Delhi,Webcam,2,1854,,3708
ORD0089,2026-05-25,Priya,Chennai,Keyboard,3,1264,UPI,3792
ORD0039,2026-05-20,Divya,Delhi,Monitor,2,10433,Card,20866
ORD0129,2026-02-08,Vikram,Chennai,Monitor,1,9585,NetBanking,9585
ORD0151,2026-12-04,Divya,Mumbai,Webcam,4,1950,Card,7800
ORD0174,2026-05-19,Divya,Bengaluru,Webcam,2,1906,UPI,3812
ORD0119,2026-03-20,Karthik,Bengaluru,Webcam,2,1848,NetBanking,3696
ORD0101,2026-06-03,Divya,Delhi,Mouse,5,625,Card,3125
ORD0096,2026-03-21,Arun,Hyderabad,Laptop,4,57182,UPI,228728
ORD0115,2026-04-01,Sneha,Hyderabad,Headphones,1,2130,NetBanking,2130
ORD0057,2026-02-09,Divya,Mumbai,Headphones,4,2313,Cash,9252
ORD0148,2026-05-27,Rahul,Delhi,Headphones,1,2037,NetBanking,2037
ORD0177,2026-02-19,Divya,Hyderabad,Webcam,4,1975,Card,7900
ORD0149,2026-01-26,Kavya,Delhi,Laptop,4,57861,Cash,231444
ORD0143,2026-02-16,Karthik,Hyderabad,Webcam,5,1898,,9490
ORD0133,2026-03-19,Karthik,Delhi,Headphones,3,2358,UPI,7074
